Mfr Name,Name,Carline,MPG
Volkswagen Group of America,Continental GT Convertible,Volkswagen Group of America - Subcompact Cars,15
BMW,228i,BMW - Subcompact Cars,27
BMW,228i,BMW - Subcompact Cars,26
BMW,228i Convertible,BMW - Subcompact Cars,27
BMW,228i xDrive,BMW - Subcompact Cars,27
BMW,228i xDrive Convertible,BMW - Subcompact Cars,26
BMW,428i Convertible,BMW - Subcompact Cars,27
BMW,428i xDrive Convertible,BMW - Subcompact Cars,25
BMW,435i Convertible,BMW - Subcompact Cars,24
BMW,435i xDrive Convertible,BMW - Subcompact Cars,23
BMW,640i Convertible,BMW - Subcompact Cars,24
BMW,640i Coupe,BMW - Subcompact Cars,24
BMW,640i xDrive Convertible,BMW - Subcompact Cars,23
BMW,640i xDrive Coupe,BMW - Subcompact Cars,23
BMW,650i Convertible,BMW - Subcompact Cars,20
BMW,650i Coupe,BMW - Subcompact Cars,20
BMW,650i xDrive Convertible,BMW - Subcompact Cars,18
BMW,650i xDrive Coupe,BMW - Subcompact Cars,19
BMW,M2,BMW - Subcompact Cars,23
BMW,M2,BMW - Subcompact Cars,21
BMW,M235i,BMW - Subcompact Cars,24
BMW,M235i,BMW - Subcompact Cars,22
BMW,M235i Convertible,BMW - Subcompact Cars,24
BMW,M235i Convertible,BMW - Subcompact Cars,22
BMW,M235i xDrive,BMW - Subcompact Cars,23
BMW,M235i xDrive Convertible,BMW - Subcompact Cars,23
BMW,M4 Convertible,BMW - Subcompact Cars,19
BMW,M4 Convertible,BMW - Subcompact Cars,20
BMW,M6 Convertible,BMW - Subcompact Cars,16
BMW,M6 Convertible,BMW - Subcompact Cars,17
BMW,M6 Coupe,BMW - Subcompact Cars,16
BMW,M6 Coupe,BMW - Subcompact Cars,17
General Motors,CASCADA,General Motors - Subcompact Cars,23
General Motors,SPARK,General Motors - Subcompact Cars,35
General Motors,SPARK,General Motors - Subcompact Cars,34
Ford Motor Company,Fiesta FWD,Ford Motor Company - Subcompact Cars,31
Ford Motor Company,Fiesta FWD,Ford Motor Company - Subcompact Cars,31
Ford Motor Company,Fiesta SFE FWD,Ford Motor Company - Subcompact Cars,36
Ford Motor Company,MUSTANG,Ford Motor Company - Subcompact Cars,25
Ford Motor Company,MUSTANG,Ford Motor Company - Subcompact Cars,25
Ford Motor Company,MUSTANG,Ford Motor Company - Subcompact Cars,22
Ford Motor Company,MUSTANG,Ford Motor Company - Subcompact Cars,21
Ford Motor Company,MUSTANG,Ford Motor Company - Subcompact Cars,19
Ford Motor Company,MUSTANG,Ford Motor Company - Subcompact Cars,19
Ford Motor Company,MUSTANG CONVERTIBLE,Ford Motor Company - Subcompact Cars,24
Ford Motor Company,MUSTANG CONVERTIBLE,Ford Motor Company - Subcompact Cars,18
Ford Motor Company,SHELBY GT350 MUSTANG,Ford Motor Company - Subcompact Cars,16
Hyundai,Genesis Coupe,Hyundai - Subcompact Cars,19
Hyundai,Genesis Coupe,Hyundai - Subcompact Cars,19
Toyota,RC 200t,Toyota - Subcompact Cars,26
Toyota,RC 300 AWD,Toyota - Subcompact Cars,21
Toyota,RC 350,Toyota - Subcompact Cars,22
Toyota,RC 350 AWD,Toyota - Subcompact Cars,21
Toyota,RC F,Toyota - Subcompact Cars,19
